,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
171,Omv Samsun Dogalgaz Santrali,CCGT,CCGT,PP,TR,887.0,,,0.0,0.0,0.0,2007.3225806451612,2007.3225806451612,2047.3225806451612,41.24,36.4767,{nan},{'GPD': {'WRI1018757'}},600
178,Unimar Marmara Ereglisi Dogalgaz Kombine Cevrim Santrali,CCGT,CCGT,PP,TR,478.0,,,0.0,0.0,0.0,2007.3225806451612,2007.3225806451612,2047.3225806451612,41.0072,27.9736,{nan},{'GPD': {'WRI1018768'}},59
183,Aliaga Alosbi,CCGT,CCGT,CHP,TR,338.0,,,0.0,0.0,0.0,2007.0,2007.0,2047.0,38.8147,27.0644,"{nan, nan}",{'GGPT': {'L100000408823'}},830
184,Aliaga Energy,CCGT,CCGT,PP,TR,870.0,,,0.0,0.0,0.0,2018.0,2018.0,2058.0,38.7422023,26.9430865,{nan},{'GGPT': {'L100000405890'}},176
185,Aliaga Euas,CCGT,CCGT,CHP,TR,180.0,,,0.0,0.0,0.0,2009.0,2009.0,2049.0,38.7987,26.945,{nan},{'GGPT': {'L100000408835'}},176
186,Aliaga Habas,CCGT,CCGT,CHP,TR,294.0,,,0.0,0.0,0.0,2002.0,2002.0,2042.0,38.7422023,26.9430865,"{nan, nan}",{'GGPT': {'L100000405891'}},176
187,Bilecik,CCGT,CCGT,CHP,TR,143.0,,,0.0,0.0,0.0,2007.3225806451612,2007.3225806451612,2047.3225806451612,40.00429,29.92227,{nan},{'GGPT': {'L100000408834'}},1780
188,Bilgin Samsun Gas,CCGT,CCGT,PP,TR,890.0,,,0.0,0.0,0.0,2013.0,2013.0,2053.0,41.14543,37.15637,"{nan, nan}",{'GGPT': {'L100000405927'}},164
189,Cay,CCGT,CCGT,CHP,TR,143.0,,,0.0,0.0,0.0,2007.3225806451612,2007.3225806451612,2047.3225806451612,38.59391,31.04345,{nan},{'GGPT': {'L100000408831'}},456
190,Cerkezkoy Ugur,CCGT,CCGT,PP,TR,60.2,,,0.0,0.0,0.0,2010.0,2010.0,2050.0,41.292719,27.956255,{nan},{'GGPT': {'L100000405901'}},87
191,Cigli Ataer,CCGT,CCGT,PP,TR,125.0,,,0.0,0.0,0.0,2010.0,2010.0,2050.0,38.4763015,27.0286062,{nan},{'GGPT': {'L100000405902'}},663
