Bus,busmap
506,TR0 35
508,TR0 25
509,TR0 10
512,TR0 10
513,TR0 2
514,TR0 2
515,TR0 2
516,TR0 39
518,TR0 11
521,TR0 15
522,TR0 15
524,TR0 15
526,TR0 15
527,TR0 15
528,TR0 15
53,TR0 44
530,TR0 33
531,TR0 14
532,TR0 43
534,TR0 17
535,TR0 47
536,TR0 47
538,TR0 23
540,TR0 27
541,TR0 27
542,TR0 27
544,TR0 27
545,TR0 27
546,TR0 16
547,TR0 16
548,TR0 47
550,TR0 33
552,TR0 33
553,TR0 33
554,TR0 33
555,TR0 33
556,TR0 33
558,TR0 15
559,TR0 27
56,TR0 41
560,TR0 27
561,TR0 27
562,TR0 27
563,TR0 27
564,TR0 27
565,TR0 17
566,TR0 17
567,TR0 15
568,TR0 15
569,TR0 15
570,TR0 17
572,TR0 17
573,TR0 17
574,TR0 17
575,TR0 17
576,TR0 17
577,TR0 33
578,TR0 33
579,TR0 33
58,TR0 6
580,TR0 15
581,TR0 33
582,TR0 33
583,TR0 33
585,TR0 33
586,TR0 33
587,TR0 33
588,TR0 14
589,TR0 43
590,TR0 5
592,TR0 16
593,TR0 5
595,TR0 16
596,TR0 1
597,TR0 1
598,TR0 1
599,TR0 47
601,TR0 4
602,TR0 34
605,TR0 26
608,TR0 6
61,TR0 45
612,TR0 18
613,TR0 40
614,TR0 18
615,TR0 0
616,TR0 32
617,TR0 18
618,TR0 45
619,TR0 13
62,TR0 13
620,TR0 13
621,TR0 33
622,TR0 28
623,TR0 40
624,TR0 13
625,TR0 18
627,TR0 20
629,TR0 6
630,TR0 20
631,TR0 18
632,TR0 32
634,TR0 32
635,TR0 32
636,TR0 43
637,TR0 37
638,TR0 37
639,TR0 43
64,TR0 32
640,TR0 1
642,TR0 1
644,TR0 9
646,TR0 9
648,TR0 21
649,TR0 21
65,TR0 45
650,TR0 21
651,TR0 21
655,TR0 48
657,TR0 48
658,TR0 48
66,TR0 41
660,TR0 13
662,TR0 10
665,TR0 19
667,TR0 30
669,TR0 19
67,TR0 22
670,TR0 17
673,TR0 20
674,TR0 22
675,TR0 22
676,TR0 22
677,TR0 27
678,TR0 27
679,TR0 18
68,TR0 22
680,TR0 27
681,TR0 41
683,TR0 24
684,TR0 40
685,TR0 40
686,TR0 32
689,TR0 13
690,TR0 40
691,TR0 13
692,TR0 13
693,TR0 40
694,TR0 40
695,TR0 25
697,TR0 25
698,TR0 40
699,TR0 40
7,TR0 7
702,TR0 25
703,TR0 25
705,TR0 10
707,TR0 27
709,TR0 23
71,TR0 24
710,TR0 47
711,TR0 15
712,TR0 20
714,TR0 20
715,TR0 20
716,TR0 31
717,TR0 31
718,TR0 31
72,TR0 40
720,TR0 1
721,TR0 3
722,TR0 3
724,TR0 3
725,TR0 42
726,TR0 42
727,TR0 42
729,TR0 42
730,TR0 31
731,TR0 29
733,TR0 10
734,TR0 25
736,TR0 13
737,TR0 13
738,TR0 13
739,TR0 13
740,TR0 18
741,TR0 18
742,TR0 18
743,TR0 0
744,TR0 18
745,TR0 18
747,TR0 11
748,TR0 32
749,TR0 32
75,TR0 40
750,TR0 34
751,TR0 4
752,TR0 45
753,TR0 2
754,TR0 40
755,TR0 40
756,TR0 20
757,TR0 13
758,TR0 13
759,TR0 45
760,TR0 48
761,TR0 21
762,TR0 48
765,TR0 21
766,TR0 21
767,TR0 21
768,TR0 36
769,TR0 36
770,TR0 21
771,TR0 48
772,TR0 21
773,TR0 48
774,TR0 21
775,TR0 21
776,TR0 48
778,TR0 48
779,TR0 21
78,TR0 12
780,TR0 15
781,TR0 27
782,TR0 27
783,TR0 0
784,TR0 0
785,TR0 0
786,TR0 0
787,TR0 0
789,TR0 6
790,TR0 14
792,TR0 38
793,TR0 38
794,TR0 38
795,TR0 38
796,TR0 38
797,TR0 38
798,TR0 38
799,TR0 38
8,TR0 41
801,TR0 37
802,TR0 38
803,TR0 38
805,TR0 38
806,TR0 38
808,TR0 38
809,TR0 5
81,TR0 10
810,TR0 5
812,TR0 35
815,TR0 16
816,TR0 16
817,TR0 43
818,TR0 34
819,TR0 37
82,TR0 10
821,TR0 37
823,TR0 43
824,TR0 48
827,TR0 10
828,TR0 10
829,TR0 10
83,TR0 20
831,TR0 10
833,TR0 19
834,TR0 35
835,TR0 35
837,TR0 10
839,TR0 10
84,TR0 18
840,TR0 14
841,TR0 14
845,TR0 2
846,TR0 29
848,TR0 29
850,TR0 29
851,TR0 29
852,TR0 29
853,TR0 32
855,TR0 23
857,TR0 23
859,TR0 23
86,TR0 7
861,TR0 32
862,TR0 32
865,TR0 20
867,TR0 18
868,TR0 18
869,TR0 18
871,TR0 20
877,TR0 34
878,TR0 39
88,TR0 45
881,TR0 44
882,TR0 4
884,TR0 44
885,TR0 44
886,TR0 39
887,TR0 44
888,TR0 44
889,TR0 47
89,TR0 12
890,TR0 47
893,TR0 47
894,TR0 47
895,TR0 47
896,TR0 34
9,TR0 21
900,TR0 26
901,TR0 26
903,TR0 34
91,TR0 27
910,TR0 13
911,TR0 13
912,TR0 13
913,TR0 13
914,TR0 13
915,TR0 13
916,TR0 25
920,TR0 10
921,TR0 3
923,TR0 33
924,TR0 32
927,TR0 39
928,TR0 39
929,TR0 39
93,TR0 6
930,TR0 39
931,TR0 39
932,TR0 39
933,TR0 39
934,TR0 39
935,TR0 39
937,TR0 23
938,TR0 39
939,TR0 39
940,TR0 39
941,TR0 44
942,TR0 44
943,TR0 44
945,TR0 44
947,TR0 11
948,TR0 4
949,TR0 4
950,TR0 2
951,TR0 21
952,TR0 21
953,TR0 26
955,TR0 2
956,TR0 2
957,TR0 2
958,TR0 2
960,TR0 2
961,TR0 2
962,TR0 2
963,TR0 2
966,TR0 23
968,TR0 16
97,TR0 11
971,TR0 8
973,TR0 3
974,TR0 3
975,TR0 42
977,TR0 42
979,TR0 42
98,TR0 1
983,TR0 20
984,TR0 20
985,TR0 18
986,TR0 13
989,TR0 40
99,TR0 2
990,TR0 13
991,TR0 25
992,TR0 48
996,TR0 11
997,TR0 11
999,TR0 40
94,TR1 0
