,id,Type,Region,tags.generator:method,power_output_MW,tags.generator:source,tags.generator:type,tags.power,tags.source,name,tags.alt_name,other_tags,geometry,Country
30811,9368037297,node,TR,wind_turbine,3.0,wind,horizontal_axis,generator,NULL,NULL,NULL,"{ ""tags.frequency"": ""50"", ""tags.manufacturer"": ""GE Energy"", ""tags.height:hub"": ""110"", ""tags.rotor:diameter"": ""130"" }",POINT (30.064014499999793 40.196716299999835),TR
30812,9368140205,node,TR,wind_turbine,3.0,wind,horizontal_axis,generator,NULL,NULL,NULL,"{ ""tags.frequency"": ""50"", ""tags.manufacturer"": ""GE Energy"", ""tags.height:hub"": ""110"", ""tags.rotor:diameter"": ""130"" }",POINT (30.09816439999995 40.2110827000001),TR
30813,9368140206,node,TR,wind_turbine,3.0,wind,horizontal_axis,generator,NULL,NULL,NULL,"{ ""tags.frequency"": ""50"", ""tags.manufacturer"": ""GE Energy"", ""tags.height:hub"": ""110"", ""tags.rotor:diameter"": ""130"" }",POINT (30.09353219999995 40.2128729000001),TR
30814,9368140207,node,TR,wind_turbine,3.0,wind,horizontal_axis,generator,NULL,NULL,NULL,"{ ""tags.frequency"": ""50"", ""tags.manufacturer"": ""GE Energy"", ""tags.height:hub"": ""110"", ""tags.rotor:diameter"": ""130"" }",POINT (30.089018 40.2143681000001),TR
30815,9368140222,node,TR,wind_turbine,3.0,wind,horizontal_axis,generator,NULL,NULL,NULL,"{ ""tags.frequency"": ""50"", ""tags.manufacturer"": ""GE Energy"", ""tags.height:hub"": ""110"", ""tags.rotor:diameter"": ""130"" }",POINT (30.033193199999953 40.18872970000011),TR
30816,9368140223,node,TR,wind_turbine,3.0,wind,horizontal_axis,generator,NULL,NULL,NULL,"{ ""tags.frequency"": ""50"", ""tags.manufacturer"": ""GE Energy"", ""tags.height:hub"": ""110"", ""tags.rotor:diameter"": ""130"" }",POINT (30.037581299999953 40.18881170000011),TR
30821,9380572594,node,TR,run-of-the-river,17.0,hydro,francis_turbine,generator,NULL,Derya HES,NULL,"{ ""tags.operator"": ""Gülsan Holding Gök Enerji"", ""tags.frequency"": ""50"", ""tags.voltage"": ""33000"", ""tags.website"": ""https:\/\/www.gulsanholding.com.tr\/derya_I_hes.asp"" }",POINT (39.296250299999976 40.54973159999999),TR
30823,9458224183,node,TR,wind_turbine,4.0,wind,horizontal_axis,generator,NULL,Vize-2 RES Rüzgâr Türbini,NULL,"{ ""tags.operator"": ""Karayel Elektrik Üretim Anonim Şirketi"", ""tags.frequency"": ""50"" }",POINT (27.7554337 41.66933409999987),TR
30824,9458224184,node,TR,wind_turbine,4.0,wind,horizontal_axis,generator,NULL,Vize-2 RES Rüzgâr Türbini,NULL,"{ ""tags.operator"": ""Karayel Elektrik Üretim Anonim Şirketi"", ""tags.frequency"": ""50"" }",POINT (27.732852 41.64408839999987),TR
30825,9458224187,node,TR,wind_turbine,4.0,wind,horizontal_axis,generator,NULL,Vize-2 RES Rüzgâr Türbini,NULL,"{ ""tags.operator"": ""Karayel Elektrik Üretim Anonim Şirketi"", ""tags.frequency"": ""50"" }",POINT (27.751098500000012 41.663778299999876),TR
